ZFAEFAA49PX141458-GM-161-QG,N
ZFAEFAA40PX141509-GM-148-QG,N
ZFAEFAG46PX141490-GM-013-LB,N
ZFACF1BJ9PJH51541-GN-863-ME,N
ZFACF1BJ8PJH82117-GP-964-YY,N
ZFACF1BJ6PJH83573-GP-951-YY,N
ZFACF1BJ5PJH51911-GN-240-RD,N
ZFACF1BJ2PJH82081-GQ-809-AS,N
ZFABF1CJ7PJJ20293-DN-AW8107,N
ZFA26300006N36239-FG-659-CL,N
ZFA26300006N35698-FG-271-AT,N
ZFA26300006N35451-FG-135-AT,N
ZCFCC35B705470571-DN-AV9809,N
ZCFCC35B605472392-DN-AV9952,N
ZCFCC35B705469520-DN-AV9805,N
ZCFCC35B405466638-DN-AV9865,N
ZCFCC35B205472390-DN-AV9996,N
ZCFCC35B305473810-DN-AV9826,N
ZARFAMBN8K7606573-QNGK10,N
ZCFCC35B005471674-DN-AV9830,N
ZACPJFDWXNPS29037-GL-790-TZ,N
ZACPJFEWXNPS09739-WI-W5726E,N
ZACPJFEW2PPS50787-GN-403-SQ,N
ZACPJFEW0PPS50755-GP-152-MC,N
ZACPJFCW4NPS11831-DN-AW1866,N
ZACPJFDW0NPS15793-GK-434-FE,N
ZACPJFDW8NPS29117-GL-782-TZ,N
ZACPJFDW0NPS29578-GL-957-VV,N
ZACNJBC17KPK06669-BR94PL,N
ZACNJECA6PPS50168-GN-561-WR,N
ZACNJECA3PPS48555-GN-749-ME,N
ZACNJCBB9MPM41190-70BWEM,N
ZACNJBBB2KPK81550-99,N
ZACNJBBB8LPL28873-BNZL15,N
ZACNJBBB5LPL86133-99,N
YV4L12UJ7S2474881-99,N
YV4L12UJ8S2469639-99,N
ZACCJABB0JPG93176-99,N
YV4L12UJXS2478746-99,N
YV4L12UJ8S2474906-99,N
YV4L12UJ6S2469574-99,N
YV4L12UJ3S2469631-99,N
YV4L12UJ7S2469549-99,N
YV4L12UJ6S2474886-99,N
YV4L12UJ2S2469538-99,N
YV4L12UJ3S2469483-99,N
YV4L12UJ2S2476540-99,N
YV4L12UJ2S2474898-99,N
YV4L12RN7P1389189-TPF6847,N
YV4L12UJ0S2474866-99,N
YV4L12UE8S2481969-99,N
YV4L12RWXP1380043-99,N
YV4L12PN2P1973082-99,N
YV4L12RN7P1389189-99,Y
YV4L12RN0P1385422-99,N
YV4L12RN0P1385243-TPF6653,N
YV4ED3UM5P2111759-99,N
YV4L12PE8R1235645-AAJT87,N
YV4ED3UMXP2110817-TPC7436,N
YV4ED3UM8P2074884-RAUS18,N
YV4ED3UM2P2112691-99,Y
YV4ED3UM5P2088094-TPC7069,N
YV4ED3UM5P2088094-99,Y
YV4ED3UM2P2112691-TPC7254,N
YV4ED3UL9P2105826-99,N
YV4ED3UM1P2086116-99,N
YV4ED3ULXP2090656-02BKNX,N
YV4ED3UL9P2106751-99,N
YV4ED3UL5P2079919-99,N
YV4ED3UL5P2090676-52BLEB,N
YV4ED3UL9P2099333-99,N
YV4ED3UL6P2101426-TMV8992,N
YV4ED3UL5P2096283-TMV9139,N
YV4ED3UL2P2095821-TMV9088,N
YV4ED3UL4P2102042-99,N
YV4ED3UL4P2092922-11DZHJ,N
YV4ED3UL2P2100029-72D1AF,N
YV4ED3UL0P2108095-99,N
YV4ED3UL2P2091431-0873AR,N
YV4ED3UL1P2099911-TPC7249,N
YV4ED3UL1P2099911-99,Y
YV4ED3GM9P2063310-TPF6925,N
YV4ED3UK6P2102261-TMV9168,N
YV4ED3UK1P2102345-TPC7151,N
YV4ED3GM4P2062209-LK2S5W,N
YV4ED3GM8P2066912-99,N
YV4ED3GM7P2066965-G5R315,N
YV4ED3GM4P2066132-TRC2237,N
YV4ED3GL1P2064197-ETV8756,N
YV4ED3GM1P2066959-G5R314,N
YV4ED3GM0P2065947-99,N
YV4ED3GL1P2065429-99,N
YV4062PN8P1991767-99,N
YV4ED3GL1P2064197-99,Y
YV4062PN9P1991812-4WNT24,N
YV4062PE3R1178534-99,N
YV4062PE4R1182172-99,N
YV4062PN6P1991279-BQC2575,N
YV4062PN6P1991279-99,Y
YV4062PEXR1181754-CKH2542,N
YV4062PE1R1200658-99,N
YV4062PE1R1184638-99,N
